context,idiom,label
"['Once his immediate knowledge had been used up his value , particularly after the Cyprus spy fiasco , was a fast - diminishing asset .', 'He is now a forgotten man who will while away his twilight years alone and insecure in an alien land , longing to return to Russia . The KGB has not been slow to remind its senior intelligence personnel of the isolated lifestyle that awaits them in the West should they be tempted to defect , pointing out the benefits of enjoying a relatively luxurious and secure existence in Russia .', 'It has also sent the West numerous doubtful and bogus defectors to muddy the waters .', 'One of the earliest was Oleg Penkovsky , a lieutenant - colonel in the GRU , who approached MI6 in 1960 with offers of information after having been twice rebuffed by the CIA .', ""A businessman called Greville Wynne was asked to act as a freelance MI6 contact and for the next two years Penkovsky provided an incredible wealth of intimate detail about the Russians ' innermost plans including the period of the 1962 Cuban missile crisis .""]",muddy the waters,i
"['It is something altogether stronger to assert that the unemployment rate can only deviate from U * ; as a result of the monetary ( and fiscal ? ) authorities catching the private sector unawares .', 'To take a specific example , the statement that a direct consequence of a publicly announced and widely believed monetary policy which aims at holding the unemployment rate at U 1 will be a higher expected rate of inflation does not imply the more extreme view that monetary policy can only reduce unemployment below U * ; to the extent that the authorities increase the money supply at a rate in excess of what was generally anticipated .', 'The conflation of these two completely distinct hypotheses has merely served to muddy the waters still further in the already turbulent and confused debate between Keynesians and new classicals .', 'In order to understand how this conflation has arisen it is instructive to trace through the steps which need to be taken to derive the Lucas supply function from the accelerationist hypothesis , the basic element of which is equation ( 7.1 ) above .', 'Now the Lucas supply function could be expressed in terms of equation ( 7.6 ) .']",muddy the waters,i
"['Eventually this procedure permanently enhances the sensitivity of the rats to the drug ; the phenomenon is known as kindling .', ""Once one group of rats has been treated , kindled seizures should occur more rapidly in other rats of the same strain , according to Sheldrake 's hypothesis ."", 'This experiment is rather costly , however , and one judge felt that the immense amount of work already done on chemical kindling in rats would muddy the waters .', 'Our own competition is ended : our congratulations to the winners , and our thanks to the judges and to the many entrants , who produced some excellent ideas and criticisms .', 'The Tarrytown offer continues , however , until the end of 1985 .']",muddy the waters,i
"[""Recent decisions from Europe give clear rules as far as the union 's concerned and I hope the Labour Party ."", 'It protects the pay and conditions .', ""The government is obviously trying to muddy the waters , they 're claiming that if we put clauses in the contracts , contract is to bid for the tenders , it 's competitive ."", 'This is nonsense .', ""They 're now even on to the vile Trade Union Reform Bill , they 're accepting it admittedly but but they 're accepting it , but it 's in the wrong Bill it 's in the wrong place it should be up in the front .""]",muddy the waters,i
"['But for the alteration in taxation in the Budget and also the minor alterations in projected expenditure which preceded it , we should have been facing 1968/69 with the identical prospect of a further creation of additional purchasing power .', ""I come now to what will be the first of many simplicities which I shall offer to you this afternoon ; for I am sure you already realise from what you know of my speakings and writings — and it will be all the more painfully obvious in half an hour 's time — that I am incurably simpliste ."", 'This is partly due to my experiences as a politician , because I know as a politician that when you are doing something naughty , nothing is more effective than to muddy the waters with complication .', 'What you fear most is an opponent who will point to a few simple but undeniable facts , and this is why the economists , and above all that wonderful race of men the economic journalists great and small , are such indispensable allies to the politician : they enable the politician to fog up what he is doing , so as to escape the blame and often even criticism for his actions .', 'So I am encouraged in my perhaps natural naïveté , I am encouraged to be simpliste , by my knowledge of the value of complication in fogging up the real issues in politics .']",muddy the waters,i
"['Second , he was subjected to a sustained attack by the two principal popular newspaper proprietors of the day , Beaverbrook and Rothermere .', 'The point nominally at issue was the one which had spasmodically rent the Conservative Party for the past three decades — the tariff question .', 'The intricacies of this had almost defied analysis since the early years of the century when Balfour had deliberately muddied the waters .', 'Safeguarding , retaliation , imperial preference , protection for industry but not for agriculture , all created a web of almost infinite complexity .', 'It was very difficult to remember who had been for what at which particular period .']",muddy the waters,i
"['But precision is lacking ; the debate over the foetus at six months contrasts with the unanimity over the zygote and new - born baby .', 'Let us now turn to Prince Charles .', 'Note how Singer muddies the water in his case .', 'The general principle ( line 3 ) uses the world ‘ all’ , the implication being that a potential X has some of the rights of an X. This is true of anyone a mere heartbeat from the monarchy .', ""Prince Charles has many of the powers of a king , particularly in the Queen 's absence , and to a diminishing extent so do the other princes , princesses and minor royalty , at further removes from the throne .""]",muddy the waters,i
"['These two assumptions are : that our main questions should be about how individual mental states relate to individual neural events ; and that we should view the mind primarily as something which represents reality .', 'I want to look at the consequences of replacing these assumptions by two others : that we should concentrate on how mind might develop out of matter ; and that we should view the mind primarily as something which enables action .', 'My first task will be to say why the focus upon mental representation has muddied the waters .', 'This will lead on to a discussion of an action - based theory of mentality , the theory developed by the Swiss developmental psychologist and philosopher Jean Piaget , and then to some discussion of mental development itself .', 'By the end of it all the mind - body problem will loom large — but this may be because we are now a little closer to it .']",muddy the waters,i
"['There is , however , a worrying trend that is perhaps best put down to enthusiasm .', 'At least two ‘ campaigns’ are now up - and - running offering to fill the place held by the demised Vulcan Association ( VA ) .', 'The tale of the fall at the last fence by the VA can be told one day , but for now talk of fund - raising , sponsorship , sale of merchandise etc etc by keen , but necessarily overnight , groupings of enthusiasts will only serve to muddy the waters .', ""If — and it is a big if — MoD ‘ recognises’ another supporters ' operation , it will be in the form of a well - constituted and long - established body , taking the Vulcan under its wing ."", 'MoD has yet to show its cards relating to the reconsidered future of XH558 if there is to be one .']",muddy the waters,i
"['Bert , is it a sort of composite ?', ""Well , no it 's not actually John ."", ""Do n't try and muddy the waters , please ."", ""We 've had enough of that this week already ."", 'Right , er .']",muddy the waters,i
"['The man behind the video and the Japanese public relations offensive in New York was Alan Macnow , long - time lobbyist for the Japan Whaling Association , and a familiar figure at IWC meetings .', ""Even Macnow 's legendary skills , however , were unable to persuade any countries to co - sponsor the Japanese resolution ."", 'Nevertheless , the Macnow - inspired video did a sufficiently good job of muddying the waters to give the Japanese some hope of diverting the main thrust of the US / New Zealand resolution .', 'After many long hours of negotiations between the key delegations , however , and increasing support among South American and African countries for a total ban on drift - nets , a compromise text was agreed which involved substantial concessions by Japan .', 'The text which was finally agreed on 11 December 1989 provided for :']",muddy the waters,i
"['As the ruling party in most local councils , Labour knows that failure to collect the poll tax will jeopardise service levels and jobs .', 'There is a contradiction between the wish to protect services and the wish to protect those too poor to pay from the consequences of their inability to pay .', 'Those who can pay but refuse to do so muddy the waters and make it more difficult for local Labour councils to adopt and sustain humane collection policies .', ""If the ‘ refusenik’ movement succeeds , it will become impossible to separate the ‘ ca n't payers’from the ‘ can - but - won't payers’ ."", 'Escalating projected deficits in collection targets will also generate pressure for harsher penalties as the effects on services begin to be spelled out .']",muddy the waters,i
"[""Lacuna tossed her great head and would n't look at him ."", ""' Pool is — troubled , ' she muttered ."", ""' The waters are muddied ."", ""Pool is preoccupied . '"", 'She faced the Doctor at last .']",muddy the waters,i
"[""But such research only reveals people 's perceptions ."", ""It does n't evaluate whether they are right or not ."", ""John Davies , professor at Strathclyde University 's Centre for Occupational and Health Psychology , says these studies merely muddy the water ."", ""He accepts it 's extremely difficult to come up with conclusive evidence that violent films cause violent behaviour , but that a series of studies in America 20 years ago suggested it was a factor ."", 'The US research employed observation of children , questionnaires and long - term case studies .']",muddy the waters,i
