,model,layer,representation,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_head_rdm_corr,same_head_rdm_std,same_modifier_rdm_corr,same_modifier_rdm_std
0,openai-community/gpt2,1,final_word,0.15062370331392066,0.4543997872652083,,,,
1,openai-community/gpt2,1,final_word,0.15062370331392066,0.4543997872652083,-0.08421001422152108,0.40361946621144423,,
2,openai-community/gpt2,1,final_word,0.15062370331392066,0.4543997872652083,-0.08421001422152108,0.40361946621144423,0.013693063937629146,0.48543365492447393
3,openai-community/gpt2,2,final_word,0.1049801568551568,0.49140529776007363,,,,
4,openai-community/gpt2,2,final_word,0.1049801568551568,0.49140529776007363,0.02114662386262845,0.5189171827193957,,
5,openai-community/gpt2,2,final_word,0.1049801568551568,0.49140529776007363,0.02114662386262845,0.5189171827193957,0.0821583836257749,0.5399845676807192
6,openai-community/gpt2,3,final_word,0.1643167672515498,0.5474181826233638,,,,
7,openai-community/gpt2,3,final_word,0.1643167672515498,0.5474181826233638,0.05644740511727007,0.543785416634554,,
8,openai-community/gpt2,3,final_word,0.1643167672515498,0.5474181826233638,0.05644740511727007,0.543785416634554,1.1102230246251566e-17,0.5656854249492379
9,openai-community/gpt2,4,final_word,0.3058117612737177,0.5452636976729699,,,,
10,openai-community/gpt2,4,final_word,0.3058117612737177,0.5452636976729699,0.08383353299252838,0.5117233897672446,,
11,openai-community/gpt2,4,final_word,0.3058117612737177,0.5452636976729699,0.08383353299252838,0.5117233897672446,-0.022821773229381913,0.5418909791953851
12,openai-community/gpt2,5,final_word,0.36058401702423426,0.48731834222268566,,,,
13,openai-community/gpt2,5,final_word,0.36058401702423426,0.48731834222268566,0.029061277242011768,0.5444057901853038,,
14,openai-community/gpt2,5,final_word,0.36058401702423426,0.48731834222268566,0.029061277242011768,0.5444057901853038,-0.04107919181288745,0.5965002095557048
15,openai-community/gpt2,6,final_word,0.4107919181288745,0.4237727378363706,,,,
16,openai-community/gpt2,6,final_word,0.4107919181288745,0.4237727378363706,0.015368213304382625,0.5457282964767233,,
17,openai-community/gpt2,6,final_word,0.4107919181288745,0.4237727378363706,0.015368213304382625,0.5457282964767233,0.03195048252113468,0.5857865083230692
18,openai-community/gpt2,7,final_word,0.42448498206650365,0.4028802551627467,,,,
19,openai-community/gpt2,7,final_word,0.42448498206650365,0.4028802551627467,0.008752228062760065,0.4852617376833794,,
20,openai-community/gpt2,7,final_word,0.42448498206650365,0.4028802551627467,0.008752228062760065,0.4852617376833794,0.018257418583505557,0.5983310120660635
21,openai-community/gpt2,8,final_word,0.42448498206650365,0.4171080994977999,,,,
22,openai-community/gpt2,8,final_word,0.42448498206650365,0.4171080994977999,0.009589802746136777,0.5138819926305618,,
23,openai-community/gpt2,8,final_word,0.42448498206650365,0.4171080994977999,0.009589802746136777,0.5138819926305618,0.03651483716701104,0.5988878581726854
24,openai-community/gpt2,9,final_word,0.42448498206650365,0.3902723408083129,,,,
25,openai-community/gpt2,9,final_word,0.42448498206650365,0.3902723408083129,-0.00866761583736875,0.5024190207741898,,
26,openai-community/gpt2,9,final_word,0.42448498206650365,0.3902723408083129,-0.00866761583736875,0.5024190207741898,-1.1102230246251566e-17,0.541602560309064
27,openai-community/gpt2,10,final_word,0.44274240065000914,0.38489717241535204,,,,
28,openai-community/gpt2,10,final_word,0.44274240065000914,0.38489717241535204,-0.022360679774997894,0.5011653087222484,,
29,openai-community/gpt2,10,final_word,0.44274240065000914,0.38489717241535204,-0.022360679774997894,0.5011653087222484,-0.004564354645876384,0.5499810602799577
30,openai-community/gpt2,11,final_word,0.45643546458763834,0.3958114029012638,,,,
31,openai-community/gpt2,11,final_word,0.45643546458763834,0.3958114029012638,0.00046109345438402616,0.49413202088054653,,
32,openai-community/gpt2,11,final_word,0.45643546458763834,0.3958114029012638,0.00046109345438402616,0.49413202088054653,0.004564354645876378,0.4974727798248529
33,openai-community/gpt2,12,final_word,0.11410886614690958,0.4755479295857919,,,,
34,openai-community/gpt2,12,final_word,0.11410886614690958,0.4755479295857919,0.022360679774997894,0.41972213030368866,,
35,openai-community/gpt2,12,final_word,0.11410886614690958,0.4755479295857919,0.022360679774997894,0.41972213030368866,0.12323757543866234,0.4989781224329044
36,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1,final_word,0.15062370331392066,0.5460273192188585,,,,
37,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1,final_word,0.15062370331392066,0.5460273192188585,-0.06427744627126208,0.5871603688854806,,
38,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1,final_word,0.15062370331392066,0.5460273192188585,-0.06427744627126208,0.5871603688854806,0.06390096504226936,0.5236888389110463
39,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,2,final_word,0.1917028951268081,0.5274940757961173,,,,
40,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,2,final_word,0.1917028951268081,0.5274940757961173,-0.05431116229613257,0.5045297787544786,,
41,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,2,final_word,0.1917028951268081,0.5274940757961173,-0.05431116229613257,0.5045297787544786,0.05020790110464022,0.522792980059985
42,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,3,final_word,0.12323757543866234,0.5483118030220882,,,,
43,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,3,final_word,0.12323757543866234,0.5483118030220882,-0.01323197048324513,0.5113624757682139,,
44,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,3,final_word,0.12323757543866234,0.5483118030220882,-0.01323197048324513,0.5113624757682139,0.20539595906443725,0.4919137797080567
45,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,4,final_word,0.19626724977268448,0.5375678251780575,,,,
46,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,4,final_word,0.19626724977268448,0.5375678251780575,-0.087099219500644,0.523261516692435,,
47,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,4,final_word,0.19626724977268448,0.5375678251780575,-0.087099219500644,0.523261516692435,0.18713854048093173,0.5187926689278997
48,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,5,final_word,0.2190890230020664,0.46761807778000475,,,,
49,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,5,final_word,0.2190890230020664,0.46761807778000475,-0.08421001422152109,0.4877588271931233,,
50,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,5,final_word,0.2190890230020664,0.46761807778000475,-0.08421001422152109,0.4877588271931233,0.18713854048093173,0.44438628091635163
51,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,6,final_word,0.22821773229381917,0.44860896112315896,,,,
52,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,6,final_word,0.22821773229381917,0.44860896112315896,-0.07051695028389193,0.5058267421321182,,
53,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,6,final_word,0.22821773229381917,0.44860896112315896,-0.07051695028389193,0.5058267421321182,0.12780193008453877,0.4457203906785807
54,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,7,final_word,0.27386127875258304,0.4618802153517005,,,,
55,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,7,final_word,0.27386127875258304,0.4618802153517005,-0.07135452496726866,0.5389472027223546,,
56,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,7,final_word,0.27386127875258304,0.4618802153517005,-0.07135452496726866,0.5389472027223546,0.07302967433402216,0.49125689138508094
57,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,8,final_word,0.2784256333984594,0.41430162120529207,,,,
58,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,8,final_word,0.2784256333984594,0.41430162120529207,-0.11783564610940925,0.5090877292388155,,
59,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,8,final_word,0.2784256333984594,0.41430162120529207,-0.11783564610940925,0.5090877292388155,0.08672273827165129,0.522792980059985
60,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,9,final_word,0.30124740662784133,0.435028734683124,,,,
61,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,9,final_word,0.30124740662784133,0.435028734683124,-0.07759402897989853,0.4634786942244486,,
62,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,9,final_word,0.30124740662784133,0.435028734683124,-0.07759402897989853,0.4634786942244486,0.13236628473041512,0.5431198455835199
63,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,10,final_word,0.26016821481495384,0.4220732558849628,,,,
64,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,10,final_word,0.26016821481495384,0.4220732558849628,-0.14233256870554462,0.4146850155333606,,
65,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,10,final_word,0.26016821481495384,0.4220732558849628,-0.14233256870554462,0.4146850155333606,0.08215838362577489,0.5322123636294067
66,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,11,final_word,0.27386127875258304,0.42229531531066417,,,,
67,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,11,final_word,0.27386127875258304,0.42229531531066417,-0.14689692335142102,0.4279527031485009,,
68,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,11,final_word,0.27386127875258304,0.42229531531066417,-0.14689692335142102,0.4279527031485009,0.1597524126056734,0.5069311261568642
